fa,la
Claudine Maia Alves Feio, Francisco Antonio Helfenstein Fonseca
Jennifer S. Li, L. LuAnn Minich
Bertrand Dussol, Yvon Berland
Satoshi Nakatani,Satoshi Nakatani
Edward L. Hannan, Andrew S. Wechsler
Michael Knoflach, Johann Willeit
Sabe De, W.H. Wilson Tang
Clodagh O'Dwyer, Rose Anne Kenny
Jack Lewin, Thomas E. Arend
Beatriz Cepeda-Valery, Abel Romero-Corral
Henrik Wagner, Göran K. Olivecrona
Jörg Ender, Volkmar Falk
Peter Milberg, Lars Eckardt
Mitja Lainscak, Hans-Dirk Düngen
Christopher P. Cannon, Stephanie A. Stowell
Luciano Cabral Albuquerque, Vanessa Devens Trindade
Anthony N. DeMaria,Anthony N. DeMaria
Dennis W. den Uijl, Jeroen J. Bax
Volker Puetz, Wouter J. Schonewille
Tamara B. Horwich, Gregg C. Fonarow
Florence Dumas, Alain Cariou
Hang T. Ta, Christoph E. Hagemeyer
Vincent E. Friedewald, William C. Roberts
Cenk Conkbayir,Cenk Conkbayir
Jassim Al Suwaidi, Hajar A. AlBinali
Kristin J. Cummings, Kathleen Kreiss
Nicola Viceconte, Carlo Di Mario
Nicholas T. Kouchoukos,Nicholas T. Kouchoukos
Suchita Nadkarni, Mauro Perretti
Peter Schnohr, Gorm B. Jensen
Alex F. Manini, Robert S. Hoffman
William Chan, Stephen J. Duffy
Kaushik P. Patel, Hong Zheng
Maretha Opperman, AJ Spinnler Benade
Yong-Liang Xue, Ka Bian
Helena Cimarosti, Jeremy M. Henley
Fausto Biancari, Vito D'Andrea
Veronique Chajes, Françoise Clavel-Chapelon
Moises Freitas-Andrade, Maria J. Moreno
Gary Swergold, Eleanor Lisbon
Serafina Valente, Gian Franco Gensini
Carol J. Parker, Mathew J. Reeves
Eric S. Williams, Patrick Hranitzky
L. David Hillis, Clyde W. Yancy
Aurelio Leone,Aurelio Leone
Charles E. Chambers, Warren K. Laskey
Silvia Corvera, Michael P. Czech
Rabia R. Razi, Kirk T. Spencer
Jonathan Chen, Jochen Buck
Annick C. Weustink, P. J. De Feyter
Ji Chen, Ernest V. Garcia
,
Marco Mura, Marc de Perrot
Anne B. Chang, Colin F. Robertson
Thomas G. Brott, Allen J. Taylor
Jerilyn K. Allen, Katherine Anderson
Marco Guazzi, Ross Arena
Enrico Donegani,Enrico Donegani
Salma Bahreinian, Anita L. Kozyrskyj
Noriko Taguchi, Makoto Tanaka
Alexandru Grigorescu Fredriksson, Carl-Johan Carlhäll
Stuart J. Head, A. Pieter Kappetein
Navinder Sawhney, Gregory K. Feld
Mojca Lunder, Mišo Šabovič
Sunil K. Agarwal, Gerardo Heiss
Takeshi Sasaki, Saman Nazarian
Jean G. Dumesnil, Philippe Pibarot
Sebastian Herrmann, Frank Weidemann
Peter Mortier, Benedict Verhegghe
Kuan Gandelman, Leiv Ose
Sandra L. Burke, Geoffrey A. Head
Akshat Saxena, Andrew Newcomb
James J. Nawarskas, Sara M. Clark
Francesco Fedele, Massimo Mancone
Alan R. Tall, Ding Ai
Arend Mosterd, Peter M. Engelfriet
Hiroki Ikenaga, Takashi Miki
Anetta Undas, Robert A. S. Ariëns
Nikki Krol,Nikki Krol
Armin Arbab-Zadeh, John Hoe
Mark J. Alberts, David A. Garcia
Domenico Palombo, Gianmario Sambuceti
Said Alsidawi, James Wilkin
Louise E. Craig, Peter Langhorne
Scott M. DeWire, Jonathan D. Violin
Simon Stewart, Paul Anthony Scuffham
Hiroyasu Iso,Hiroyasu Iso
L. Guilleminault, Sylvain Marchand-Adam
Nan Zhang,Nan Zhang
Didier Smadja, Stéphane Olindo
W. Anthony Lee, Philip J. Hess
Peter W. Radke, Eric Wittchow
Vojtech Melenovsky, Jiri Kettner
L. David Hillis, Clyde W. Yancy
George A. Antoniou, Colin Bicknell
Jerzy Pręgowski, Adam Witkowski
Gang Wang, Qingbo Xu
Hidekazu Ishida, Keiichi Ozono
James E. Calvin, Lynda H. Powell
J. Michael Schmidt, Stephan A. Mayer
Mustafa Kurt, Emine Bilen
David Ost, Michael Simoff
Timothy S. Church,Timothy S. Church
Benjamin D. Fox, David Langleben
Gong Zhao, Luiz Belardinelli
Riccardo Marano, Lorenzo Bonomo
Morgan L. Brown, Hartzell V. Schaff
Inger Ekman, Karl Swedberg
Akihiro Nakagomi, Teruo Takano
Abigail S. Dean, Kenneth B. Margulies
Nevio Taglieri, Claudio Rapezzi
Kevin Damman, Roberto Latini
Marco Ranucci, Giovanni Landoni
John D. Werner, A. Herr
JongSeon Park, Jae-Kwan Song
Craig Sable, Roberta G. Williams
Henry Krum, Ronnie Willenheimer
Randolph H.L. Wong, Malcolm J. Underwood
Lionel Tarassenko, Peter J. Watkinson
Alexia Rossi, Robert-Jan van Geuns
Marvin J Slepian,Marvin J Slepian
Omar F. AbouEzzeddine, Margaret M. Redfield
Masatoshi Koga, Kazunori Toyoda
David D. Odell, Armin Ernst
José Suárez de Lezo, Dolores Mesa
Joji Ishikawa, Kazuomi Kario
Evan Appelbaum, Martin S. Maron
Firas Al-Ali, Margaret Yacobozzi
Masatsugu Hori, Lars Wallentin
Ornella Leone, Gayle L. Winters
Byeong Keuk Kim, Myeong Ki Hong
James M. Backes, Patrick M. Moriarty
Matthew Ginks, C. Aldo Rinaldi
Jonas F. Ludvigsson, Erik Ingelsson
Renate B. Schnabel,Renate B. Schnabel
S. de Haan, C.P. Allaart
Elke S. Hoendermis,Elke S. Hoendermis
Jeffrey P. Jacobs, Frederick L. Grover
Márcia Ferreira da Silva, Antônio José Natali
Peachy Mae Piana, Daniel B. Brown
Katherine Y. Le, Larry M. Baddour
Syahidah Syed Tamin, Haifa Abdul Latiff
Pablo Peñafiel-Verdú, Mariano Valdés-Chávarri
Angelo Polito, Paola Cogo
Balabhaskar Prabhakarpandian, Mohammad F. Kiani
Marcin Demkow, Piotr Hoffman
L David Hillis, null null
Mi Youn Park, Jongmin Lee
Thao P. Nguyen, James N. Weiss
M Voskuil, P A Doevendans
Christian Widera, Thomas Thum
Rachel J. Le, Garvan C. Kane
Alejandro Jimenez, Timm Dickfeld
Mareike Lankeit, David Jiménez
Young Jin Youn, Kyung Hoon Choe
Michael G. Silverman, Roger S. Blumenthal
Nicholas G. Kounis, John A. Goudevenos
Francesco Bedogni, Luca Testa
Martin S. Green, Andrew D. Krahn
Carlos E. Ruiz, Howard A. Cohen
Natalie Slowik, Gerard M. Turino
Scott J. Denardo, Carl J. Pepine
Inder S. Anand, Imad Libbus
Xavier Freixa, Mónica Masotti
Pablo Pazos-López, Alfonso Castro-Beiras
Qun Wang, Huaizhu Wu
Chi-Ling Hang, Shyh-Ming Chen
Gregory B. Lim,Gregory B. Lim
Thomas Walther, Jörg Kempfert
Kagami Miyaji, Nobuyuki Inoue
Jeetesh V. Patel, Paramjit Gill
Yuki Okamoto, Masahiko Matsumoto
Bob J. H. van Kempen, M. G. Myriam Hunink
Jan Basile, Richard Weitzman
Leon I. Igel, Louis J. Aronne
Jonathon Leipsic, John G. Webb
Andrea A. Conti,Andrea A. Conti
Robert M. Califf, Robert A. Harrington
Hong Zheng, Kaushik P Patel
Dariusz Gąsecki, Krzysztof Narkiewicz
Pyotr G. Platonov, Siew Yen Ho
Giuseppe Patti, Germano Di Sciascio
Jeffrey A. Switzer, Susan C. Fagan
Roman Pfister, Kay-Tee Khaw
Shahriar Dadkhah, Roza Sharain
Julie K. Johnson, Paul R. Barach
Snigdha Tripathi, Theresia Kraft
Peter A McCullough, Aftab Ahmad
Francesco Di Fabio, Philip H. Gordon
Steven B. Karch, Elisabetta Bertol
Stephen R. Daniels, Sarah D. de Ferranti
Philippe Généreux, Gregg W. Stone
Charles W. Leffler, Jonathan H. Jaggar
Anne-Catherine Pouleur, Scott D. Solomon
James E Frampton,James E Frampton
Stephanie Tierney, Christi Deaton
Carlos Martinez-Barenys, Julio Astudillo
Alexander N. Kapustin, Catherine M. Shanahan
John Quilley, Paulina L. Pedraza
Philip A. Read, David P. Dutka
Ye Xiong, Michael Chopp
Luis M. Ruilope,Luis M. Ruilope
Ingrid Connerney, Peter A. Shapiro
Kelly E. Beazley, Maria Nurminskaya
Aline Marques Franco, Alfredo José Rodrigues
Mori J. Krantz, James Brian Byrd
Steven M. Kawut, Reda E. Girgis
Borja Ibanez, Juan J. Badimon
Jason G. Andrade, Marc Dubuc
Paolo Versacci, Bruno Marino
Matthew K. Ito, Patrick M. Moriarty
David D. McManus, Robert J. Goldberg
Haim Shmilovich, Daniel S. Berman
Bianca C. Bernardo, Julie R. McMullen
Piero Ruggenenti, Giuseppe Remuzzi
Babak Nazer, Javid Moslehi
Shinichiro Uchiyama, Takenori Yamaguchi
Jodie Ingles, Christopher Semsarian
Oliver Schlager, Renate Koppensteiner
Jae Gun Kwak, Chun Soo Park
Elia De Maria, Stefano Cappelli
Arnold J. Greenspon, Steven M. Kurtz
Kim Bouillon, Mika Kivimäki
Philip M. Meyers, Randall T. Higashida
Nobuaki Kobayashi, Kyoichi Mizuno
Yasuaki Wada, Masunori Matsuzaki
Takenori Domei, Masakiyo Nobuyoshi
Anna Raper, Marina Cuchel
Karl B. Kern,Karl B. Kern
Jodie Ingles, Diane Fatkin
Helen Soneson, Einar Heiberg
Monica Sanchez-Ross, Marc Klapholz
Elisabeth Wehr, Barbara Obermayer-Pietsch
Yulin Liao, Masafumi Kitakaze
Yong Ha Chi, Sang Lin Kim
Bingruo Wu, Bin Zhou
Nazanin Fallah-Rad, Davinder S. Jassal
G.B. John Mancini, William E. Boden
Pietro I. D'Urso, David F. Kallmes
Stefano Marcia, Giorgio Mallarini
Sarah Muni, J. Randall Curtis
Mike Tipton, Frank Golden
Keith A. Dufendach, Michael J. Ackerman
Renu Virmani,Renu Virmani
Frédéric Franceschi, Paul Khairy
Muhamed Saric, Itzhak Kronzon
Ersen B. Colkesen, Ron J.G. Peters
William F. Fearon,William F. Fearon
Harvey S. Hecht,Harvey S. Hecht
Gustav Ondrejka, Richard Tyl
Susan A. Thompson, Leslie Tung
Wei Huang, Yong He
Liyun Cai, Bernhard Zrenner
Ravi Ranjan, Henry R. Halperin
O Alda, Ricardo P. Garay
Anita Szwast, Meryl S. Cohen
Songcang Chen, David G. Gardner
Jeff M. Berry, Joseph A. Hill
Giuseppe Boriani, Gregory Y.H. Lip
Margareth Amort, Stefan T. Engelter
Oliver Gaemperli, Philipp A. Kaufmann
Timm Bauer, Anselm K. Gitt
Patricia Martínez-Sánchez, Exuperio Díez-Tejedor
David Evans, Frank-Ulrich Beil
Hiu-Ting Chan, Hung-Fat Tse
Julien F. Bally, Cristina Granziera
Giuseppe Boriani, Sandro Mattioli
Gerald Mundigler, Gere Sunder-Plassmann
Giuseppe Lippi, Gianfranco Cervellin
Ragavendra R. Baliga, James B. Young
Khalil Kanjwal, Blair P. Grubb
Susan Cheng, Ramachandran S. Vasan
Maohua Cao, Paul L. Hermonat
Osamah Albaker, Jassim Al Suwaidi
Alexandra Gonçalves, José Zamorano
Robert F. Storey, Lars Wallentin
G. Tibolla, Alberico L. Catapano
Wael AlJaroudi, Manuel D. Cerqueira
Aaron L. Baggish, Malissa J. Wood
Mona Bafadhel, Salman Siddiqui
Naoko Nakanishi, Naoto Nakamura
Hisatomi Arima, John Chalmers
Ada Lo, John F. Younger
Hakan Sarikaya, Ralf W. Baumgartner
M. Mostafa Mokhles, Ad J.J.C. Bogers
,
Maoto Habara, Takahiko Suzuki
I.Y.L. Tan, Robert A. Willinsky
Alessandro Cataliotti, Yasuhiro Ikeda
Sivasubramanian Ramakrishnan, Balram Airan
Jesus M. Casida, Jessica Parker
Hong Zebger-Gong, Uwe Querfeld
Diana Aicher, Hans-Joachim Schäfers
Takashi Murashita, Hiroyuki Nakajima
A. Bondke Persson, I. Buschmann
Alisa Arunamata, Norman H. Silverman
Roxana Mehran, Gregg W. Stone
Susan B. Shurin,Susan B. Shurin
Anders Thorstensen, Asbjørn Støylen
Robert Lerner,Robert Lerner
Luigi Tarantini, Pompilio Faggiano
Samir Pancholy, Tejas Patel
Zhaojun Yang, Wenying Yang
Ravi S. Math, Vinay K. Bahl
Elizabeth Murphy,Elizabeth Murphy
Reza Ashrafi, Gershan Davis
Nathan E. Goldstein, Diane E. Meier
Atsuhiko Yagishita, Mitsuaki Isobe
Sanne A.E. Peters, Karel G.M. Moons
Matthew N. Bartels, Selim M. Arcasoy
Ian Crozier, Warren Smith
Jeetesh V. Patel, E. A. Hughes
Minakshi Bhagat, Arnab Ghosh
Asako Katsume, Hiroaki Matsubara
Michael Kohlhaas, Christoph Maack
Gregg C. Fonarow, Lee H. Schwamm
Sean I Savitz, L. R. Wechsler
Marc R. Dweck, David E. Newby
Inger Ekman, Katharina S. Sunnerhagen
Barry A. Franklin, Mary Cushman
Stephan G. Nekolla, Antti Saraste
Raquel Villegas, Xiao-Ou Shu
Neethu John, Devasahayam J. Christopher
Michael N. Sack,Michael N. Sack
Sophie Blaise, B. Satger
Dan Meila, Friedhelm Brassel
Rodolfo Sacco, Carlo Bartolozzi
Noel Yan-Ki Chan, Roberto Levi
Noura Al-Foraih, Handrean Soran
Robbert C. Bakker, Ad J.J.C. Bogers
Niels V. van der Hoeven, Gert A. van Montfrans
Neil A. Smart, Almir S. Ferraz
Richard A. Krasuski, Eugene H. Blackstone
João D. Fontes, Emelia J. Benjamin
Christian van der Werf, Arthur A.M. Wilde
Bassam Al-Baba,Bassam Al-Baba
Melbourne F. Hovell, Ding Ding
Klaus Empen, Stephan B. Felix
Bernard Thibault, Paul Khairy
Yariv Gerber, Véronique L. Roger
Miguel Ángel Martínez-García, Miguel Perpiñá Tordera
Ronald J. Kanter, Charles Antzelevitch
Jonathan E. Feig, Edward A. Fisher
Gavin Sandercock, Fernando Cardoso
Alfred A. Bove, Francis J. Menapace
Giuseppe Steffenino, Brunella Porcedda
Carl Montan, Timothy Resch
Javed Butler, Bruce M. Psaty
Susan Redline, JoAnne M. Foody
Elizabeth A. Martinson, David Garcia-Dorado
William H. Bestermann,William H. Bestermann
Issam Moussa,Issam Moussa
Marilyn J. Cipolla, Julie G. Sweet
Fatih Arslan, Dominique P.V. de Kleijn
Ling-gen Gao, Li Fan
Ricarda Seidensticker, Jens Ricke
Genevieve N. Healy, Neville Owen
María C. Villa-Abrille, Bernardo V. Alvarez
Michele M. Castro, Richard Schulz
Harold E. Bays, Charlotte Jones-Burton
Jian Zhu, Yong Liu
Vincent Costalat, Alain Bonafe
Tatiana F. Galvao, William C. Stanley
Russell H. Mellor, Peter S. Mortimer
Raymond Y. Kwong, Afshin Farzaneh-Far
Magdy Selim, Yuko Y. Palesch
Suneet Mittal, Jonathan S. Steinberg
Satz Mengensatzproduktion, Druck Reinhardt Druck Basel
Ulf Landmesser, David R. Holmes
Elizabeth Norris, Andrew Lockey
Jennifer M.J. Richards, David E. Newby
Elena Ladich, Renu Virmani
Christina Chrysohoou, Christodoulos Stefanadis
J. Donald Easton,J. Donald Easton
Jose F. Huizar, Mark A. Wood
L. Maria Belalcazar, Russell P. Tracy
Stephen F. Rodrigues, Daniel N. Granger
Lance B Becker, Henry R. Halperin
Jordi Heijman, Yoram Rudy
Can Martin Sag, Lars S. Maier
Takeshi Takami, Yoshihiko Saito
Mian Wang, Shenming Wang
Christopher A. Troianos, Scott Reeves
Yoichi Ohtaki, Kanji Nagai
Mark J. Schuuring, Barbara J.M. Mulder
Daniel Kurnik, C. Michael Stein
Kimberly Buff Prado, Jeffrey R. Backstrand
Josep Rodés-Cabau,Josep Rodés-Cabau
Pohoey Fan, Tahir Tak
Nicola A. Hanania, Ubaldo J. Martin
Yasuhiro Maejima, Angiotensin-II Receptor Blocker Trial Investigators
Diana M. Cave, Stephen M. Schexnayder
Alexander Iribarne, Yoshifumi Naka
Zhang Zhang, Sabee Molloi
Italo Porto, Filippo Crea
William J. Elliott, C. Venkata S. Ram
Shang-Gin Wu, Jin-Yuan Shih
Julia Köbe, Lars Eckardt
James P. Kiley,James P. Kiley
David S. Frankel, Francis E. Marchlinski
Giuseppe Patti, Germano Di Sciascio
Chandrasekar Palaniswamy, Stephen J. Peterson
Nobukazu Miyamoto, Takao Urabe
Seth I. Sokol, Vankeepuram S. Srinivas
Martin Czerny, Thierry Carrel
Jacques Ohayon, Roderic I. Pettigrew
Jose A Sánchez, David García-Dorado
Bernd Gehringhoff, Konstantinos P. Donas
Håkan Eliasson, Helena M. Gardiner
Amil M. Shah, Scott D. Solomon
Walid Maamoun, Rasha Elarasy
James S. Ware, Stuart A. Cook
S. Mojtaba Golzan, Stuart L. Graham
Lauren A. Beslow, Rebecca Ichord
Areum Kim, Paul J. Fadel
Jacob S. Koruth, Alexander Mittnacht
Juha Koskinen, Olli T. Raitakari
Jasmine Lamba, Adrian Baranchuk
Benjamin Knier, Karl F. Hilgers
Hector M. Medina, Gregg C. Fonarow
Elpidoforos S. Soteriades, Stefanos N. Kales
Agnès Charlemagne, Jean-Yves Le Heuzey
Piotr Ponikowski, William T. Abraham
Ilan Goldenberg, Li Zhang
Chris Gale, Robert West
Derun Taner Ertugrul, Emre Tutal
Fadi Matar, Jad Mroue
Jacqueline M. Smits, Andreas Zuckermann
Gordon E. Carr, Dana P. Edelson
Marco Aurelio Grudtner, Adamastor Humberto Pereira
Fabio Rocha Formiga, María J. Blanco-Prieto
Michael W. Cullen, Patricia A. Pellikka
Marjolijn C.E. Bragt, Ronald P. Mensink
Kenichi Sugioka, Minoru Yoshiyama
Kent L. Christopher, Phillip Porte
Stephen Scott, John P.H. Wilding
Louise B. Zaupper, Troels Herlin
Tong Liu, Sanjay Kaul
Paul S. Bhella, Benjamin D. Levine
Jianqiang Xu, Hyeon Cheol Gwon
Stefano Giardina, Domenico Palombo
Abdulhalim Jamal Kinsara, Hani Tamim
Dorian J. deFreitas, Matthew A. Corriere
Anurag Bhai Patidar, Sandeep Seth
Moritz S. Bischoff, Randall B. Griepp
Bong Gun Song, Jae K. Oh
Dai Asada, Kenji Hamaoka
Quin E. Denfeld, Steve Kazmierczak
Robert G. Hauser, David L. Hayes
Richard A. DeWall,Richard A. DeWall
Kenji Nakajima, Ken-ichi Hirata
Christoph A. Nienaber, Janet T. Powell
Luis Afonso, Sidakpal S. Panaich
Jaclyn A. Smith, Brendan J. Canning
Mashio Nakamura, Takeyoshi Kunieda
Kouji Kajinami, Hironobu Akao
Stephen K. Field,Stephen K. Field
Javier J. Zulueta, David F. Yankelevitz
Bernard Iung, Alec Vahanian
J. Hope Kilgannon, Stephen Trzeciak
A.G. den Hartog, G.J. de Borst
Kathrin Rychli, Martin Hülsmann
Bénédicte Dehédin, Jean-Pol Depoix
Cyril W.C. Kendall, David J.A. Jenkins
P Opfermann, F Dick
David H. Stone, Jack L. Cronenwett
Pablo Salinas, Jose Lopez-Sendon
,
E. Kalodiki, George Geroulakos
Naser Ahmadi, Ramin Ebrahimi
Evgenij V. Potapov, Roland Hetzer
Jorge Plutzky,Jorge Plutzky
Constantina Aggeli, Christodoulos Stefanadis
Serina A. Neumann, Stephen B. Manuck
Derk Frank, Norbert Frey
Yuji Matsuzawa, Tadashi Nakamura
David S. Park, Glenn I. Fishman
Rebecca D. Levit, W. Robert Taylor
Rasmus V. Rasmussen, Niels Eske Bruun
Carlos Iribarren, Norman Orentreich
Eric H. Awtry, Ravin Davidoff
Ajay Gupta, Sumit Sethi
Graziela Z Kalil, William G. Haynes
Michael Schatz, Felicia C. Allen-Ramey
James O'Donnell, Hazel Lum
Meng Ting Wang, Agnes L.F. Chan
Stig Andersen, Jens Jørgen Kjærgaard
Brett Cucchiara, Scott E. Kasner
Jardi Huzen, Pim van der Harst
Conor Deasy, Peter Cameron
Hugh Tunstall-Pedoe,Hugh Tunstall-Pedoe
Dimitri Kalavrouziotis, François Dagenais
Peter R. Kowey,Peter R. Kowey
Harmony R. Reynolds, Judith S. Hochman
Arshed A. Quyyumi, Andrew L. Pecora
Andrzej Grzybowski, Jakub Pawlikowski
A. Nagesh Shetty Roy, Emanuel Shaoulian
Thomas Cuisset, Jacques Quilici
Scott Kinlay,Scott Kinlay
Jee Eun Kwon, Wang Seong Ryu
Akram Traibi, El Hassane Kabiri
Philipp Pichler, Bonni Syeda
R.V. Rao, Tej Sheth
Andrew R L Medford,Andrew R L Medford
H. A. Kragten, N. Visker
Sachiko Kanki, Richard T. Lee
Charis Costopoulos, Neville Kukreja
Sivasubramanian Ramakrishnan, Balram Bhargava
Atsushi Aoki, Mamoru Tago
William J. Elliott, W. Kurtis Childers
Peter Bramlage, Gilles Montalescot
Christine S. Zuern, Axel Bauer
Mehmet Gungor Kaya, C. Michael Gibson
Patrick R. Lawler, Louise Pilote
Anders Albåge, Göran Källner
Anton Razuvaev, Ulf Hedin
Anthony N. DeMaria,Anthony N. DeMaria
Bing Wang, Sylvain Doré
Philip J. Kilner,Philip J. Kilner
M. Esther Gallardo, Belén Bornstein
Pierluigi Sbarra, Sebastiano Marra
Catherine M. Shanahan, Cecilia M. Giachelli
Anders M. Greve, Kristian Wachtell
Nathan Mewton, Pierre Croisille
C. Riopel, M. Righini
Dipak K. Das, Diptarka Ray
Dan M Roden, Russell A Wilke
Zorana Vasiljevic, Sladjan Milanovic
Zankhana Raval, James D. Flaherty
Aleksandra Gilis-Januszewska, Alicja Hubalewska-Dydejczyk
Luciano Candilio, Derek M. Yellon
Jinau Luo, Paula Grammas
Juan Carlos Kaski,Juan Carlos Kaski
Karim Hnid, Mamoun Chtioui
William D. Schweickert, John P. Kress
Tomoe Y. Nakamura, Shigeo Wakabayashi
Timothy W. Evans, Constantine A. Manthous
Agnes Flöel, Caterina Breitenstein
Marcia K. Ito, Pedro Marques-Vidal
Anita Deswal,Anita Deswal
Matthias Arlt, Michael Hilker
Kazuhiro Yasufuku, Shaf Keshavjee
Wu Zhao, Fen Li
Laurence Nunn, Pier D. Lambiase
Alfredo José Rodrigues, Paulo Roberto Barbosa Evora
E Sakaguchi, Yukio Ozaki
Mathew J. Reeves, Lee H. Schwamm
Koji Sato, Yuhei Yoshimoto
Joan Carles Escolà-Gil, Francisco Blanco-Vaca
Giuseppe Santarpino, Theodor Fischlein
Raphaël Coscas, Jean-Pierre Becquemin
Randall R. De Martino, Daniel B. Walsh
Eric S. Kim, Christopher Peterson
Jamie P. Dwyer, Julia B. Lewis
Bernhard Schwaab, Heiner Raspe
Marcelo Souto Nacif, David A. Bluemke
Sripal Bangalore, David P. Faxon
Carlos C. Chang, James B. Hoying
Zubin J. Eapen, Sana M. Al-Khatib
Young Jun Koh, Gou Young Koh
Jeffrey S. Berger, William R. Hiatt
Orlando Petrucci, Pirooz Eghtesady
Bobak Heydari, Brett Heilbron
Victor Marinescu, Peter A. McCullough
Benjamin F. Remo, Glenn I. Fishman
Keerthi M. Mohan, Andrew P. Grieve
Sonia S. Anand, Hertzel C. Gerstein
Salvatore Brugaletta, Eric Boersma
Gerald F. Watts, Ronald J. Trent
Tomoki Shimokawa, Shuichiro Takanashi
Traves D. Crabtree, Bryan F. Meyers
Janneke M. de Man-van Ginkel, Marieke J. Schuurmans
Ann Burgaz, Alicja Wolk
Takao Hiraki, Susumu Kanazawa
Brent E. Quinney, William D. Jordan
Javier Goicolea-Ruigómez, Carlos Macaya
Chih Hsin Hsu, Mardi Gomberg-Maitland
Shukri AlSaif, Mushabab Al-Murayeh
M. Abdelmaksoud, Daniel Y. Sze
Julia Hippisley-Cox, Peter Brindle
Mehmet Kanbay, David Goldsmith
Yuan Shao, Wen-long Zhou
W. Bruce Fye,W. Bruce Fye
Kalkidan Bishu, Margaret M. Redfield
Alkiviadis Tsamis, Nikos Stergiopulos
Luisa Mestroni, Gianfranco Sinagra
Tae-Eun Jung, Dong-Hyup Lee
Bernard J. Gersh, Lynn G. Tarkington
Richard F. Gillum, Thomas O. Obisesan
Hyun Sang Lee, Shung Chull Chae
Yung-Lung Chen, Hon-Kan Yip
Andrew T. Yan, Shaun G. Goodman
Joseph L. Blackshear, Thomas G. Brott
Paweena Chungsomprasong, Trong Phi Lê
Iris Baumgartner, Lilach O. Lerman
Gregory Hartlage, Stamatios Lerakis
Paul Frey, David D. Waters
Alessandro Capucci, Federico Guerra
Emma Raitoharju, Terho Lehtimäki
Alfonso Ielasi, Antonio Colombo
Henrik Engblom, Håkan Arheden
Matthias Nahrendorf,Matthias Nahrendorf
Kun Da Zhuang, Kiang Hiong Tay
Andrew Czarnecki, Andrew T. Yan
Atsushi Iwata, Keijiro Saku
Kevin E. Griffith, Francis D. Pagani
Michael J. Bonios, M. Roselle Abraham
Nuno Bettencourt, Vasco Gama
A. James Mamary, Gerard J. Criner
Andrew D. McInnes, Vinay Nadkarni
Wu-Ping Sun, Shi-Sheng Zhou
Paula Carmona, Carlos L. Errando
Jonathan Golledge, Simon A. Koblar
Roopa Siddaiah, Mary Cataletto
Abbas Dehghan, Daniel I. Chasman
Raphael A. Carandang, John R. Sims
Stein Harald Johnsen, Svein Ivar Bekkelund
Tekin Akpolat, Ahmet Karataş
Martin Popovic, Robert A. Bucek
Simon Jung, Marcel Arnold
Chee Tang Chin, Matthew T. Roe
Warren Ball, Anna Woo
Zilun Li, Shenming Wang
Albert Marni Joensen, Erik Berg Schmidt
Niklas F. Ehl, Micha T. Maeder
Shao Yuan Chuang, Wen-Harn Pan
Grant Burton, Eduardo da Cruz
Jaw-Shiun Tsai, Ching-Yu Chen
Dominik Linz, Klaus Wirth
Christopher Naoum, John Yiannikas
Xue Li, Tung O. Chan
Anouska Moynagh, CoreValve Collaborative
Fatima Akdim, John J.P. Kastelein
Seigo Yamashita, Michihiro Yoshimura
Raymond L. Benza, Michael D. McGoon
Guohua Song, Xinnong Wang
Ulrike I. Attenberger, Henrik J. Michaely
Hongqi Xin, Michael Chopp
Maria G. Karas, Jorge R. Kizer
Dave Koole, Joost A. van Herwaarden
Benjamin Meder, Wolfgang Rottbauer
Rolf P. Engelberger, Nils Kucher
Guocai Tao, Min Bi
Natasha H Laurens, Trudy Dwyer
Maco V. Perez, Euan A. Ashley
Stephen D. Wiviott, Eugene Braunwald
Jeremy Edwards, Andrew T. Yan
Carlos Fernández-Hernando, Kathryn J. Moore
Ye Fan, Roland Hetzer
Duygu Ilgin, Eyüp Sabri Uçan
Takuya Yashiro, Ryuichiro Sato
Timothy P. Murphy, Ralph B. D'Agostino
Domenico Corrado, Gaetano Thiene
Ki Chul Sung, Andrew Wilson
David Platts, John F. Fraser
Alex Abou-Chebl, Michel T. Torbey
Michael S. Kapiloff, Kshama D Chandrasekhar
Alan Rozanski, Daniel S. Berman
Jose C. Pachon M, Tomas G Santillana P
Michael R. Skilton, Olli T. Raitakari
Charles E. Chambers,Charles E. Chambers
Friedrich Koehler, Stefan D. Anker
Shuang Zhou, Chih-Chuan Liang
Michael W. Sims,Michael W. Sims
Jessica S. Coogan, Jeffrey A. Feinstein
Andreas S Kalogeropoulos, Ioannis Rizos
Montse Guardiola, J. Ribalta
Jane B. Knudsen, Henrik Egeblad
Robert D. Brook, Sanjay Rajagopalan
Stefano Caselli, Luciano Agati
Frank L. Bos, Stefan Schulte-Merker
Lisa J. Schober, Wolfgang Siess
Richard Sutton,Richard Sutton
Emre Aslanger, Kivanc Yalin
Ravi Maheswaran, Charles D.A. Wolfe
Sanjeeva P. Kalva, Stephan Wicky
Farouk Mookadam, Serageldin F Raslan
Shengxian Tu, Johan H. C. Reiber
Sung-Whan Kim, Moo Hyun Kim
Mohammed Al Ghobain,Mohammed Al Ghobain
Marta Futema, S.E. Humphries
Robin A.P. Weir, John Connell
Mohd Kanjwal, Dawn-Alita Hernandez
Thomas Müller, Christof Schmid
Edoardo Verna, Fabrizio Caravati
Antigone Oreopoulos, Raj S. Padwal
Arintaya Phrommintikul, Apichard Sukonthasarn
Jingxiong Wang, Edward T.H. Yeh
